都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,FACILITYNAME,PLACEMENT,ADDRESS
262111,,京都府,京田辺市,田辺幼稚園,タナベヨウチエン,京田辺市田辺鳥本73,,34.81717085,135.7683487,職員室,0774-62-3498,,,,,,,,,,,Tanabe Kindergarten,Staff Room,73 Tanabe Torimoto Kyotanabe City
262111,,京都府,京田辺市,草内幼稚園,クサウチヨウチエン,京田辺市草内南垣内57-1,,34.81081461,135.785743,職員室,0774-62-7000,,,,,,,,,,,Kusauchi Kindergarten,Staff Room,57-1 Kusauchi Minamigaito Kyotanabe City
262111,,京都府,京田辺市,三山木幼稚園,ミヤマギヨウチエン,京田辺市三山木南垣内4-1,,34.79505337,135.7844455,職員室,0774-63-0077,,,,,,,,,,,Miyamagi Kindergarten,Staff Room,4-1 Miyamaki Minamigaito Kyotanabe City
262111,,京都府,京田辺市,松井ケ丘幼稚園,マツイガオカヨウチエン,京田辺市大住上西野20-5,,34.83598732,135.7359041,職員室,0774-62-8887,,,,,,,,,,,Matsuigaoka Kindergarten,Staff Room,20-5 Osumi Kaminishino Kyotanabe City
262111,,京都府,京田辺市,薪幼稚園,タキギヨウチエン,京田辺市薪大欠51,,34.82093005,135.7540369,職員室,0774-63ｰ1911,,,,,,,,,,,Takigi Kindergarten,Staff Room,51 Takigi Ogaki Kyotanabe City
262111,,京都府,京田辺市,普賢寺幼稚園,フゲンジヨウチエン,京田辺市水取門田6-3,,34.78295931,135.7522117,職員室,0774-65ｰ0111,,,,,,,,,,,Fugenji Kindergarten,Staff Room,6-3 Mizutori Kadota Kyotanabe City
262111,,京都府,京田辺市,河原保育所,カワラホイクショ,京田辺市河原神谷69,,34.82254376,135.776728,職員室,0774-62-2681,,,,,,,,,,,Kawara Nursery School,Staff Room,69 Kawara Kamiya Kyotanabe City
262111,,京都府,京田辺市,草内保育所,クサウチホイクショ,京田辺市草内五反田22-1,,34.81476801,135.7821146,玄関入り口,0774-62-2055,,,,,,,,,,,Kusauchi Nursery School,Entrance Hall,22-1 Kusauchi Gotanda Kyotanabe City
262111,,京都府,京田辺市,三山木保育所,ミヤマギホイクショ,京田辺市三山木南垣内37,,34.79298715,135.781978,職員室,0774-62-2055,,,,,,,,,,,Miyamagi Nursery School,Staff Room,37 Miyamaki Minamigaito Kyotanabe City
262111,,京都府,京田辺市,南山保育所,ミナミヤマホイクショ,京田辺市三山木南山63,,34.79642336,135.7778649,職員室,0774-62-3641,,,,,,,,,,,Minamiyama Nursery School,Staff Room,63 Miyamaki Minamiyama Kyotanabe City
262111,,京都府,京田辺市,大住小学校,オオスミショウガッコウ,京田辺市大住池平88,,34.83488277,135.741255,職員室,0774-62-0046,,,,,,,,,,,Osumi Elementary School,Staff Room,88 Osumi Ikehira Kyotanabe City
262111,,京都府,京田辺市,松井ケ丘小学校,マツイガオカショウガッコウ,京田辺市大住上西野18-2,,34.83656828,135.7349292,職員室,0774-62-8888,,,,,,,,,,,Matsuigaoka Elementary School,Staff Room,18-2 Osumi Kaminishino Kyotanabe City
262111,,京都府,京田辺市,田辺小学校,タナベショウガッコウ,京田辺市田辺鳥本102,,34.81700754,135.7702725,職員室,0774-62-0044,,,,,,,,,,,Tanabe Elementary School,Staff Room,102 Tanabe Torimoto Kyotanabe City
262111,,京都府,京田辺市,薪小学校,タキギショウガッコウ,京田辺市薪堀切谷1,,34.81968769,135.7540359,職員室,0774-63-2000,,,,,,,,,,,Takigi Elementary School,Staff Room,1 Takigi Horikiritani Kyotanabe City
262111,,京都府,京田辺市,草内小学校,クサウチショウガッコウ,京田辺市草内南垣内53,,34.81180424,135.7856175,職員室,0774-62-0054,,,,,,,,,,,Kusauchi Elementary School,Staff Room,53 Kusauchi Minamigaito Kyotanabe City
262111,,京都府,京田辺市,桃園小学校,モモゾノショウガッコウ,京田辺市大住仲ノ谷12-1,,34.82553036,135.7456508,職員室,0774-63-6335,,,,,,,,,,,Momozono Elementary School,Staff Room,12-1 Osumi Nakanotani Kyotanabe City
262111,,京都府,京田辺市,三山木小学校,ミヤマギショウガッコウ,京田辺市宮津宮ノ下4-3,,34.79414665,135.7846067,職員室,0774-62-1055,,,,,,,,,,,Miyamagi Elementary School,Staff Room,4-3 Miyazu Miyanoshita Kyotanabe City
262111,,京都府,京田辺市,普賢寺小学校,フゲンジショウガッコウ,京田辺市水取門田6-1,,34.78245403,135.7522621,職員室,0774-65-0053,,,,,,,,,,,Fugenji Elementary School,Staff Room,6-1 Mizutori Kadota Kyotanabe City
262111,,京都府,京田辺市,田辺東小学校,タナベヒガシショウガッコウ,京田辺市東西ノ口60-2,,34.82667533,135.7788046,職員室,0774-62-4348,,,,,,,,,,,Tanabehigashi Elementary School,Staff Room,60-2 Higashi Nishinokuchi Kyotanabe City
262111,,京都府,京田辺市,田辺中学校,タナベチュウガッコウ,京田辺市興戸北鉾立21,,34.81281283,135.7702978,職員室,0774-62-0021,,,,,,,,,,,Tanabe Junior High School,Staff Room,21 Kodo Kitahokotate Kyotanabe City
262111,,京都府,京田辺市,大住中学校,オオスミチュウガッコウ,京田辺市大住池平2,,34.83488935,135.74117,職員室,0774-62-8889,,,,,,,,,,,Osumi Junior High School,Staff Room,2 Osumi Ikehira Kyotanabe City
262111,,京都府,京田辺市,培良中学校,バイリョウチュウガッコウ,京田辺市東七反割3,,34.82060736,135.7843826,職員室,0774-62-9363,,,,,,,,,,,Bairyo Junior High School,Staff Room,3 Higashi Shititanwari Kyotanabe City
262111,,京都府,京田辺市,田辺中央体育館,タナベチュウオウタイイクカン,京田辺市田辺丸山19,,34.81513485,135.7664297,玄関付近,0774-62-1501,,,,,,,,,,,Tanabechuo Gymnasium,Entrance Hall,19 Tanabe Maruyama Kyotanabe City
262111,,京都府,京田辺市,田辺公園プール,タナベコウエンプール,京田辺市田辺丸山8,,34.81450484,135.7655627,事務所,0774-65-3113,,,,,,,,,,,Tanabekoen Swimming Pool,Office,8 Tanabe Maruyama Kyotanabe City
262111,,京都府,京田辺市,水道部事業所,スイドウブジギョウショ,京田辺市興戸犬伏18-1,,34.81338782,135.7716948,玄関付近,0774-62-0414,,,,,,,,,,,Kyotanabe City Water and Sewage Division Office,Entrance Hall,18-1 Kodo Inubuse Kyotanabe City
262111,,京都府,京田辺市,新田辺駅東自転車駐車場,シンタナベエキヒガシジテンシャチュウシャジョウ,京田辺市河原食田10番地80･81,,34.82163959,135.7732352,事務所付近,0774-63-7878,,,,,,,,,,,Shintanabe Station East Bicycle Parking,Near the Office,"10-80,81 Kawara Syokuden Kyotanabe City"
262111,,京都府,京田辺市,ＪＲ三山木駅南北自転車駐車場,JRミヤマギエキナンボクジテンシャチュウシャジョウ,京田辺市三山木柳ヶ町4-1,,34.79864657,135.7842919,事務所付近,0774-68-1113,,,,,,,,,,,JR Miyamagi Station South North Bicycle Parking,Near the Office,4-1 Miyamaki Yanagamachi Kyotanabe City
262111,,京都府,京田辺市,ＪＲ京田辺駅西自転車駐車場,JRキョウタナベエキニシジテンシャチュウシャジョウ,京田辺市田辺久戸2-4,,34.82101612,135.7683561,事務所付近,0774-65-1224,,,,,,,,,,,JR Kyotanabe Station West Bicycle Parking,Near the Office,2-4 Tanabe Kudo Kyotanabe City
